benzene,btx,phi,air_excess,T,P,CO,CO_std,CO2,CO2_std,NO,NO_std,NO2,NO2_std,H2O,H2O_std,NH3,NH3_std,SO2,SO2_std,HCHO,HCHO_std,HCOOH,HCOOH_std,CH4,CH4_std,C2H2,C2H2_std,C2H4,C2H4_std,C2H6,C2H6_std,C3H6,C3H6_std,"1,3- C4H6","1,3- C4H6_std",iso-C4H8,iso-C4H8_std,N2O,N2O_std,C7H8,C7H8_std,CH3CHO,CH3CHO_std,CH3COCH3,CH3COCH3_std,CH3COOH,CH3COOH_std,CH3OH,CH3OH_std,DME,DME_std,O2,O2_std,CO_range,CO2_range,NO_range,,nan_std
1.12,,0.8,25,113,103,0.871093333,1.438419452,63266.66667,1150.51213,226.8,4.397491448,2.107533333,1.716967128,218800,761.1243951,3.317333333,0.504769892,-16.30666667,4.031337019,1.930133333,3.088797687,-0.302066667,0.258753635,1.659333333,1.370881049,-3.2432,1.855923906,0.214846667,0.584004649,27.11333333,3.410504395,-0.535673333,1.533011587,0.845301533,0.453553935,0.456666667,0.77051659,2.146,0.643490482,-12.72666667,8.571254016,23.95333333,5.99089731,1.312,1.551666112,0.993666667,0.834206017,1.138533333,0.949335075,-3.088666667,5.053196826,44166.66667,1726.334233,20000,200000,200,,
1.12,,1.2,-16.7,113,104,24479.16667,727.0651232,60575.69444,209.9432569,17.47076389,2.66574478,2.00580625,2.024790184,225291.6667,1041.808933,58.57638889,0.641642721,-19.80708333,5.599736165,0.347396667,2.077449295,-0.212735903,0.376482055,1.809295139,1.147078254,-2.619372917,2.259902043,-0.079741667,0.755623457,30.4625,5.693102067,-0.428632639,1.580341625,0.382771597,0.701939697,1.125284514,0.734170517,2.484993056,0.65981775,-9.921284722,7.231054448,20.07951389,6.89098642,1.922099306,1.644223852,0.821151389,0.77303391,-0.315717361,1.185486297,-3.087800694,4.409196141,8210.416667,253.6448586,100000,200000,200,,
0.5,,0.8,25,113,102.9074074,0.89277037,1.487635574,59788.88889,1130.489377,213.3333333,3.749143204,2.055001852,1.596898341,225185.1852,1793.801102,5.172592593,0.661739947,-13.16851852,4.873258868,0.427477778,2.284347363,-0.431170741,0.369989521,1.539942593,1.408925047,-3.482259259,2.307694299,0.272666667,0.807714186,28.32592593,5.261149627,-0.202703704,1.204240492,0.645608574,0.639020899,0.722503704,0.7009607,2.132962963,0.410313897,-11.18855556,7.506411736,24.70777778,7.98702351,1.315581481,1.787711075,0.868497037,1.054296631,1.496481481,1.116284202,-2.575996296,4.646763583,44796.2963,1600.813224,20000,200000,200,,
0.5,,0.91,10,113,103,-0.865290323,0.419702408,66938.70968,281.3054105,256.1935484,3.202656222,2.182129032,2.522925959,247290.3226,776.4377837,2.961612903,0.493711914,-22.38870968,7.279825589,0.181670968,2.226248842,-0.040791613,0.273696029,1.48416129,1.25187901,-3.802783871,2.233140105,0.259064516,0.717949582,30.23225806,6.441178341,-0.417529032,1.30739101,0.692419355,0.522499454,0.577490323,0.655780547,2.397741935,0.424972205,-7.74416129,8.188722089,24.79032258,6.876157659,1.883796774,1.857925725,1.283064516,0.821987353,1.229054839,1.334704523,-2.340577097,3.713570948,24683.87097,128.2844539,200,200000,200,,
0.5,,1.1,-9,113,103.4204545,16473.86364,1547.532179,63051.13636,670.1802432,38.06022727,2.923580575,1.603568182,2.218549033,250954.5455,10656.08783,56.65681818,3.601707387,-24.73897727,6.493554438,-0.4849375,1.885504724,-0.169046364,0.355641738,1.8765,1.233888923,-4.482193182,2.860323498,-0.057326136,0.67966014,32.17045455,5.457956899,-1.114103409,1.504791538,0.437402273,0.735686655,0.543196591,0.688664719,-0.154289545,0.511158631,-10.08770455,7.342720936,19.19295455,7.376422696,2.039369318,1.999265434,0.744834318,0.956553817,0.550529545,1.149915572,-1.961113636,4.819336084,9171.363636,7.586727988,20000,200000,200,,
0.5,,1.2,-16.7,113,104,24021.05263,133.877505,56500,161.0774533,14.56842105,3.477658832,1.985315789,2.138276701,235315.7895,661.9081,60.41578947,0.564023344,-18.80526316,5.488412726,0.290657895,2.147534451,-0.216663158,0.442035298,2.348578947,1.311552384,-2.465631579,1.451250987,-0.647357895,0.838559789,30.18947368,6.252774064,-0.933263158,1.444252012,0.912368421,0.473341795,0.952263158,0.586132799,2.471578947,0.59063194,-14.81963158,8.404267855,24.87894737,7.151002874,1.777368421,1.919493876,0.475315789,0.725680225,-0.560610526,1.157139649,-5.65,5.433066925,8842.105263,326.0173921,100000,200000,200,,
0.5,,1,0,113,103,4000,0,69614.63415,912.0756346,235.4390244,9.997651034,0.729002439,2.136334105,267658.5366,1056.660383,7.064146341,0.392459642,-29.09268293,5.767272083,-0.073356341,2.40103049,-0.201633415,0.415146842,0.859256098,1.625711894,-5.357317073,2.200638543,0.120900976,0.775406181,34.94146341,5.287767183,-0.56962439,1.311959463,0.509719512,0.728558369,0.766846341,0.750167482,1.467073171,0.381764868,-12.11795122,7.505660619,21.07829268,7.948836052,2.307390244,1.663524429,1.980560976,0.706976454,1.071353659,1.348285471,-2.213017073,5.868359113,906.097561,1587.100591,200,200000,,1000,0
0.5,,1.05,-5,113,102,9111.195652,1357.675482,64836.95652,337.3692473,117.9673913,9.08063584,2.036458696,2.044709331,249913.0435,2288.73303,67.03695652,2.559060509,-23.2173913,5.201273671,-0.267775543,2.309270752,-0.109717826,0.355173956,1.271248913,1.367881008,-3.363044565,2.874778557,-0.04786,0.718239009,29.80108696,5.542394869,0.196715217,1.54774376,0.987368804,0.61484481,1.011738043,0.754588623,0.245036957,0.757384605,-17.81279348,8.642801159,21.8075,7.564705452,3.249847826,1.828805845,1.333429348,0.866053519,0.046128804,1.309131479,-2.548410543,4.532441483,8325.326087,287.6148422,100000,200000,200,,
3,,0.8,25,113,103,1.825785714,1.828275211,72514.28571,416.0789506,251.8571429,1.671421788,2.774857143,2.098124272,203071.4286,604.2179781,3.319285714,0.462112128,-13.13,4.59676698,0.328142857,2.440859741,-0.346063857,0.359141843,1.247378571,1.770240015,-2.481785714,2.14087667,0.918985714,0.77303115,26.23571429,5.29620509,-0.037192857,1.305983812,0.050492857,0.744026264,0.916285714,0.658922063,2.427142857,0.274885257,-9.873571429,9.952153392,23.45,7.85533553,1.276357143,0.97204958,0.539,0.849238526,0.93345,1.528958267,-1.843714286,3.56416742,43200,435.4648432,20000,200000,200,,
3,,0.91,10,113,103,-0.449987179,0.423155102,82761.53846,679.4250375,307.5641026,9.291232767,3.258282051,1.799160511,221871.7949,727.1894724,2.692307692,0.554117815,-17.76,5.176044722,0.325548718,1.77221806,-0.079800513,0.42586552,1.313282051,1.275268568,-3.097358974,2.16516587,0.288494872,0.627709244,29.95641026,6.853979596,-0.390130769,1.348088241,0.664081026,0.70678676,0.538310256,0.780328945,2.640769231,0.446721882,-6.616592821,6.670147942,21.89384615,6.825019524,1.891410256,1.90309339,1.491102564,0.997608329,0.459511795,1.366176687,-4.768410256,4.60594474,22382.05128,976.5754624,200,200000,1000,,
3,,1.1,-9,113,103,20736.58537,382.8135591,76334.14634,313.9629263,23.01219512,2.418365443,2.299634146,1.813317072,225365.8537,657.5711973,64.46341463,0.741954741,-16.89463415,6.033903839,1.162682927,2.459383567,-0.043390732,0.40874543,2.900609756,1.073385204,-2.725390244,2.171492266,0.136073171,0.428913666,28.50487805,5.827052755,-0.120945854,1.520430161,0.035029268,0.710628063,1.175146341,0.635378979,1.788585366,0.592917123,-9.985707317,6.850233934,19.14878049,7.316044332,3.173756098,1.821048535,0.607109756,0.998880879,-0.004213902,1.336192208,-6.481853659,5.692945648,9129.512195,9.673999648,20000,200000,200,,
3,,1.2,-16.7,113,103,32059.70149,715.2600245,67598.50746,687.0428158,25.91791045,2.858987958,2.095904478,1.664729725,208477.6119,11032.908,63.44029851,2.932322321,-14.54746269,5.839673578,1.05628209,2.40290749,-0.430344478,0.333544917,54.03731343,7.593306031,11.89537313,5.03229998,7.437164179,1.688356238,21.62985075,5.526967786,-0.879761194,1.586514031,0.06341194,0.653849987,1.076340299,0.747991002,2.599253731,0.748814227,-17.30656716,6.90215844,19.46876119,7.327927592,2.168791045,1.551771324,1.128592537,0.821813144,0.066223597,1.069765248,-4.973250746,4.73292542,7739.701493,262.4005441,100000,200000,200,,
3,,1.05,-5,113,104,13740.98361,546.7793152,77713.11475,305.0405256,49.13934426,2.842143219,3.032213115,1.898850005,222442.623,739.0990755,91.48688525,0.679444452,-18.8704918,5.254084417,1.642127869,2.121018355,-0.182598852,0.325844004,1.977154098,1.378504162,-2.630485246,2.342558574,-0.44195082,0.661807149,29.5147541,5.273819199,-1.029611475,1.39239597,0.295465049,0.501122054,1.331721311,0.727787752,0.337752459,0.527682352,-15.33967213,7.315696338,19.89081967,6.205989454,2.281588607,1.396803461,0.729701639,0.745925666,-0.257291803,1.105305739,-4.367639344,4.894878275,8330.163934,354.613009,20000,200000,200,,
3,,1,0,113,103,4813.076923,282.2590191,84884.61538,267.869084,101.9384615,8.684840905,2.132153846,1.540230936,237769.2308,587.0395086,70.94615385,0.516318328,-20.46923077,3.447058947,0.244323077,1.829647413,-0.572692308,0.295395162,0.673923077,1.014780091,-3.314230769,2.742449887,0.269692308,0.812635356,32.93846154,6.165522,-0.437692308,1.605920017,0.152276923,0.623076699,1.217538462,0.857648284,1.753538462,0.647179927,-14.16538462,9.431417807,25.00615385,10.37360461,2.996076923,2.388366152,1.048184615,0.668745962,0.597461538,0.927007194,-3.298609231,4.281329761,833.0769231,1906.080311,20000,200000,1000,,
5,,1.2,-16.7,113,103,35752.13675,568.6514868,73792.30769,739.2321554,34.61965812,2.924610368,3.04034188,1.923279492,199444.4444,8764.387993,62.2017094,2.23383974,-12.97752137,5.605133286,1.619955556,2.258595171,-0.240495556,0.327416797,84.54529915,10.22633557,30.31282051,7.117970228,12.0857265,1.87688552,24.08632479,5.395689044,-0.739770085,1.672135625,0.125822479,0.625429289,0.87071094,0.712420835,3.265897436,0.761099446,-14.44094359,7.15869567,20.38393162,7.164555934,2.349301709,1.70968401,1.740603419,0.818546759,0.271902564,1.090925842,-4.35788506,4.711635289,8071.111111,122.0481702,100000,200000,200,,
